سیاست‌‌مدار کسی است که حوادث فردا و یک‌ماه و یک‌سال آینده را پیش‌بیینی کند و بعد بتواند دلایلی بیاورد که چرا اتفاق نیفتاد.,وینستون چرچیل
نمی‌توان گفت زندگی بیهوده است، چون به گورستان ختم می‌شود. در یکی از اشعار پیندار، شاعر تغزلی یونان باستان، سطر الهام بخشی وجود دارد که در بزرگ داشت یک جوان ، به مناسبت پیروزی او در یک مسابقه کشتی، در بازی‌های معبد دلفی سروده شده است. پیندار می‌نویسد، « چه هستند، هر یک از مخلوقات روزگار؟ و چه نیستند؟ انسان چیزی جز رؤیایی سایه وار نیست. با این همه آنگاه که پرتوی خورشید چونان هدیه ای از آسمان فرود می‌آید، نور پرتوافشان و زندگی آرام، به وجود انسان وابسته‌اند.»
این ضرب المثل نومیدانه که می گوید، « بیهودگی، بیهودگی، همه چیز بیهوده است.» درست نیست! خودِ این لحظه بیهوده نیست، بلکه نوعی پیروزی و شعف است. این تکیه کردن بر اوج کمال در لحظات پیروزی‌مان کاملا یونانی است.,جوزف کمبل
فرض کنید همان طور که دارید رانندگی می‌کنید و به راه خود می‌روید ناگهان ماشین دیگری به طرز خطرناکی جلوی شما می‌پیچد. اگر واکنش فکری شما این باشد:«مرتیکه‌ی احمق!» آنوقت باید گفت که آماده‌ی خشم می‌شوید زیرا این عبارت کوتاه بلافاصله با اندیشه های غضبناک تر و انتقام جویانه تر دنبال می‌شود: «حرامزاده نزدیک بود بزند به من، نمی گذارم راحت فرار کنی!» همانطور که فرمان را محکم می‌چسبید گویی گلوی آن جوانک را گرفته‌اید بند انگشت های دستتان سفید می‌شود، بدن تان آماده‌ی جنگ می شود، نه فرار. دچار لرزش و اضطراب می‌شوید، دانه‌های عرق در روی پیشانی تان می‌نشیند، قلبتان به تپش می‌افتد، عضلات صورتتان منقبض می‌شود. دل تان می‌خواهد او را بکشید. بعد که به اندازه کافی به او نزدیک شدید از خشم منفجر می‌شوید و عصبانیت خود را بر سر آن راننده خالی می‌کنید. سپس ماشین عقبی برای تان بوق می‌زند چون شما سرعتتان را کم کرده‌اید، خلاصه حاصل کار، فشار خون، بی احتیاطی در رانندگی و سرعت زیاد در اتوبان است.
اکنون به جای از کوره در رفتن، بیایید با بلندنظری بیشتری به آن راننده نظر بیفکنید:«شاید مرا ندید، یا شاید دلیل موجهی برای این بی احتیاطی اش داشته باشد، احتمالا باید مریض داشته باشد.» بدین ترتیب خشم را با ترحم آرام می‌کنید، یا حداقل خشم را به تعویق می‌اندازید، مشکل همانطور که ارسطو گفته است ابراز خشم بجا و مناسب است و اینکه غضب بدون کنترل ما جاری نشود. 
بنیامین فرانکلین چه خوب گفته است که: خشم هرگز بدون دلیل نبوده است، اما این دلیل به ندرت موجه و قابل قبول است.,دنیل گلمن
من و مادرم، ناسازگاری‌ها و کشمکش‌‌های زیادی با هم داشتیم، ولی به نظرم، او از همه‌ی آنها لذت می‌برد.,مارک تواین
ای دلبر من، غزلهایی را که روزگاری در دشت و دمن برایت می سرودم، اکنون در دیوانی فشرده و زندانی کرده ام، زیرا زمانه ناسازگار است.,یوهان ولفگانگ گوته
متخصص کسی را گویند که بتواند پس از اشتباه از آب درآمدن نظریه‌اش دلیل آن را دقیقأ توجیه کند.,وینستون چرچیل
یکی از بیمارانم که نقص جسمانی شدید، یافتن جفتی مناسب را برایش مشکل کرده بود، با «انتخاب» این اعتقاد که زندگی بدون رابطه ای عاشقانه - جنسی با یک مرد ارزشی ندارد، خود را شکنجه می داد. بسیاری از درها را به روی خود بسته بود از جمله خود را از لذت عمیق دوستی صمیمانه با دیگران محروم کرده بود. بخش عمده ی درمان این بیمار، به چالش طلبیدن آن اعتقاد اولیه بود: اینکه اگر جفتی نیابد هیچ است(دیدگاهی که همیشه خصوصا برای زنان از سوی جامعه تقویت می شود.) او در نهایت به این ادراک رسید که گرچه در برابر نقص جسمانی اش مسئولیتی ندارد، ولی مسئولیت کامل نوع منش اش نسبت به این نقص با اوست، نیز مسئولیت این تصمیم که به همان نظام اعتقادی اش که به خودخوارنگری شدید منجر شده بود وفادار بماند یا آن را رها کند.,اروین دیوید یالوم
چون [ =اگر ] بخشنده ای به فرد نیازمند بخشش و کرم کرد، در دل احساس شادی و سرور کند و ببالد. اما نیکی کردن به کسی که نیاز ندارد روا نیست، چه او هرگز ارزش نیکی را نمی شناسد و همچنان که از خار خشک گل نمی روید، ارج نهادن به نیکی را نمی داند... .,جبران خلیل جبران
انسان‌هایی که در فقر زندگی می‌کنند از محدودیت‌هایشان آگاه اند. بنابرین بهترین استفاده را از منابع در دسترس خود می‌برند و پیوسته دست به خلاقیت می‌زنند. توجه داشته باشید که نیاز تاثیری قدرتمند بر خلاقیت دارد. مشکل ما با کسانی که در جوامع مرفه زندگی می‌کنند این است که آن ها حس محرومیت و به تبع آن خلاقیت در مواقع برخورد با کاستی را از دست می‌دهند. با پیشرفت علم و فنآوری انسان امروزه طول عمر بیشتری دارد. متاسفانه بیشتر ما ماه‌ها و حتی سال‌ها بدون تفکر به زندگی ادامه می‌دهیم و تلاشی برای بهبود وضعیت خویش نمی‌کنیم. تصور ما این است که زمان بی پایانی در اختیارمان قرار دارد. این تفکر به مرور ما را از واقعیت زندگی دور می‌سازد. این خیال باطل که انرژی بی پایانی برای رسیدن به خواسته‌هایمان داریم به سادگی ما را از تلاش سخت تر برای رسیدن به خواسته‌هایمان باز داریم. ما برای بسیاری از چیزها مرزی قائل نمی‌شویم. 
زمان، عمر، نیرو، انرژی، امکانات، شهرت، سرمایه و دوستانمان،همگی در نظر ما تا سال‌ها کنارمان خواهد بود؛ اما باید بدانید برای رسیدن به آرمان‌هایتان،باید بی‌وقفه تلاش کنید. در این راه مطالعه به پرورش استعدادها و مهارت‌هایتان کمک می‌کند. امروزه با فنآوری،بسیاری از چیزها دست یافتنی شده است. رفاه و فراوانی این تصور غلط را در ذهن ما به وجود می‌آورد که همواره در اوج خواهیم بود. بنابراین روز به روز در رؤیاهایمان غنی‌تر و توانمندتر می‌شویم. البته که در رؤیا پردازی محدودیتی وجود ندارد؛اما این رؤیا پردازی متوهمانه ذهن و جسم ما را روز به روز ضعیف تر و فقیرتر می‌سازد و ساده لوحانه راه خود را برای زوال و نابودی هموار می‌کنیم. از داشته‌هایمان دلسرد و خسته می‌شویم و فراموش می‌کنیم که زنده ایم. در زندگی باید یک جنگجو باشید وجنگ نیاز به واقع بینی دارد. شاید دیگران زندگی و زیبایی را در رؤیاهای بی پایان ببینند؛ اما واقع بینی به شما درکی درست از واقعیت می‌دهد. در واقعیت زندگی، محدودیت‌ها همواره حضور دارند و با آگاهی از آن‌ها، می‌توانید راهکاری برای دستیابی به خواسته بیابید. باید واقعیت‌های زندگی را پذیرفت. مرگ، یکی از واقعیات زندگی است. این حقیقت را بپذیرید که درهر لحظه امکان مرگ وجود دارد. بپذیرید چیزهایی هست که هرگز به آنها نخواهید رسید و کارهایی هست که هیچ وقت قدرت انجامش را ندارید؛ از جمله استعدادهایی که هرگز نخواهید داشت و ضعف جسمانی که گاه با آن به دنیا آمده اید و در طول زندگی قدرتی برای تغییرش ندارید. یک جنگجو این واقعیت زندگی را پذیرفته است. جنگجویان با آگاهی، بر توانایی هایشان تمرکز و نقاط قوت خود را تقویت کرده و سعی می‌کنند خلاقیت را در وجودشان پرورش دهند. آن ها آگاه اند چه زمان از سرعت خود بکاهند، چه هنگام کاری را تکرار کنند، چه وقت چیزی را از زندگی شان کنار بگذارند و با درک صحیح از خود و محیطشان، به موفقیت‌های بیشتری دست ‌یابند.,رابرت گرین
تا کی غمِ آن خورم که دارم یا نه
وین عمر به خوشدلی گذارم یا نه
پرکن قدحِ باده که معلومم نیست
کاین دم که فرو برم برآرم یا نه,حکیم عمر خیام
در بین تمامی مردم تنها عقل است که عادلانه تقسیم شده، زیرا همه فکر می کنند به اندازه کافی عاقلند.,رنه دکارت
